Yosys shard 0/4	success	steps: 14 ran, 1 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Yosys build | Install the pinned Yosys and prove the version | Install the pinned sv2v release | Restore the portability result cache seeded from dev | Run this weighted portability shard | Upload per-top and structural evidence | Post Restore the portability result cache seeded from dev | Post Cache the pinned Yosys build | Post Run actions/checkout@v4 | Complete job
Verilator shard 2/5	success	steps: 12 ran, 6 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Verilator build | Put Verilator on PATH and prove the version | Prove specialized suite ownership | Run this exhaustive suite shard | Upload this shard's suite logs | Post Cache the pinned Verilator build | Post Run actions/checkout@v4 | Complete job
Verilator shard 4/5	success	steps: 12 ran, 6 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Verilator build | Put Verilator on PATH and prove the version | Prove specialized suite ownership | Run this exhaustive suite shard | Upload this shard's suite logs | Post Cache the pinned Verilator build | Post Run actions/checkout@v4 | Complete job
Verilator shard 3/5	success	steps: 16 ran, 3 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Verilator build | Put Verilator on PATH and prove the version | Prove specialized suite ownership | Cache the pinned Yosys build for the netlist-level suite owner | Install the pinned Yosys and prove the version | Install sv2v for the netlist-level suite owner | Run this exhaustive suite shard | Upload this shard's suite logs | Post Cache the pinned Yosys build for the netlist-level suite owner | Post Cache the pinned Verilator build | Post Run actions/checkout@v4 | Complete job
Verilator shard 1/5	success	steps: 13 ran, 5 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Verilator build | Put Verilator on PATH and prove the version | Prove specialized suite ownership | Build the pinned tsn-gen field oracle on its suite owner | Run this exhaustive suite shard | Upload this shard's suite logs | Post Cache the pinned Verilator build | Post Run actions/checkout@v4 | Complete job
Yosys shard 2/4	success	steps: 14 ran, 1 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Yosys build | Install the pinned Yosys and prove the version | Install the pinned sv2v release | Restore the portability result cache seeded from dev | Run this weighted portability shard | Upload per-top and structural evidence | Post Restore the portability result cache seeded from dev | Post Cache the pinned Yosys build | Post Run actions/checkout@v4 | Complete job
Verilator shard 0/5	success	steps: 12 ran, 6 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Verilator build | Put Verilator on PATH and prove the version | Prove specialized suite ownership | Run this exhaustive suite shard | Upload this shard's suite logs | Post Cache the pinned Verilator build | Post Run actions/checkout@v4 | Complete job
Yosys shard 3/4	success	steps: 14 ran, 1 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Yosys build | Install the pinned Yosys and prove the version | Install the pinned sv2v release | Restore the portability result cache seeded from dev | Run this weighted portability shard | Upload per-top and structural evidence | Post Restore the portability result cache seeded from dev | Post Cache the pinned Yosys build | Post Run actions/checkout@v4 | Complete job
Yosys shard 1/4	success	steps: 14 ran, 1 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Record the tree this worker validates | Cache the pinned Yosys build | Install the pinned Yosys and prove the version | Install the pinned sv2v release | Restore the portability result cache seeded from dev | Run this weighted portability shard | Upload per-top and structural evidence | Post Restore the portability result cache seeded from dev | Post Cache the pinned Yosys build | Post Run actions/checkout@v4 | Complete job
Physical gPTP (nightly and manual)	skipped	steps: 0 ran, 0 skipped; 
verilator-suites	success	steps: 8 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Download every shard's logs | Require every shard to have validated this run's SHA | Prove exhaustive ownership and tally every log | Require every Verilator worker to pass | Post Run actions/checkout@v4 | Complete job
yosys-portability	success	steps: 8 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Download every shard's evidence | Require every shard to have validated this run's SHA | Reconcile the live inventory and structural gates | Require every Yosys worker to pass | Post Run actions/checkout@v4 | Complete job
