# head act_ci.py sha256 e8bf06d297b64f08cfd2431977875b786ce0ae18eed29bd3fc4fecd74f8de3dc mode root mutants 57
control trailing comment	SURVIVED	rc=0	-
R267 R14 residue ignores the uplink pidfile	KILLED	rc=1	FAIL each residue of a dead invocation (namespace, runtime directory, uplink pidfile, daemon unit, uplink unit, active slice, table) refuses before any mutation, is named with the recovery commands an
R267 R15 residue counts only units in state loaded	KILLED	rc=1	FAIL a daemon unit left in any state but the absent one (masked, error, bad-setting) is residue, not a clean slot
R267 R16 firewall table deleted before the uplink stops	KILLED	rc=1	FAIL teardown stops the daemon, uplink and slice, reverts the cap, deletes the table and namespace, proves each gone, then unlocks
R267 R17 firewall rule matches only IPv4 loopback	KILLED	rc=1	FAIL the slot firewall is one new table rejecting the slot cgroup's traffic to host-local addresses and out of any interface but the uplinks, created whole or not at all
R267 R18 identity accepts either label	KILLED	rc=1	FAIL a slot daemon reporting another invocation's token refuses and the slot is torn down
A213 F1 uplink-only rule dropped	KILLED	rc=1	FAIL the slot firewall is one new table rejecting the slot cgroup's traffic to host-local addresses and out of any interface but the uplinks, created whole or not at all
A213 F1 uplink rule inverted to accept only	KILLED	rc=1	FAIL the slot firewall is one new table rejecting the slot cgroup's traffic to host-local addresses and out of any interface but the uplinks, created whole or not at all
A213 F1 discovered uplinks ignored	KILLED	rc=1	FAIL acquisition locks the slot, proves it clean, then creates the namespace, memory cap, uplink, firewall and daemon in that order and verifies the daemon
A213 F1 unreachable default taken as an uplink	KILLED	rc=1	-
A213 F1 failed route query read as no route	KILLED	rc=1	FAIL a default-route query that fails is refused, never read as no route
A213 F1 loopback accepted as an uplink	KILLED	rc=1	FAIL the slot firewall refuses loopback as the uplink
A213 F1 unquotable uplink name accepted	KILLED	rc=1	FAIL the slot firewall refuses an uplink name that would leave its quotes
A213 F1 empty uplink set accepted	KILLED	rc=1	FAIL the slot firewall refuses no uplink
A213 F6 ancestors not inspected	KILLED	rc=1	FAIL acquiring a slot whose root has a user-owned parent refuses before the lock or any host command
A213 F6 ancestor owner unchecked	KILLED	rc=1	FAIL acquiring a slot whose root has a user-owned parent refuses before the lock or any host command
A213 F4 slot memory cap never checked	KILLED	rc=1	FAIL teardown stops the daemon, uplink and slice, reverts the cap, deletes the table and namespace, proves each gone, then unlocks
A213 F4 cap exhaustion ignored	KILLED	rc=1	FAIL a slot with a cap that ran out twice is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked
A213 F4 missing oom count read as zero	KILLED	rc=1	FAIL a slot with events without an oom count is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked
A213 F4 hierarchical events read (container limits counted)	KILLED	rc=1	FAIL acquisition locks the slot, proves it clean, then creates the namespace, memory cap, uplink, firewall and daemon in that order and verifies the daemon
A220 missing max count read as zero	KILLED	rc=1	FAIL a slot with events without a max count is refused naming its cap, not reported as a verdict, and the whole slot is still torn down and unlocked
A220 cap hits reported from the oom count	KILLED	rc=1	FAIL a slot whose cap caused no OOM passes, printing its peak and how often the cap was hit, and reads only the slice's own events, never those of a container's limit below it
A220 a slice sitting at its cap without an OOM is refused too	KILLED	rc=1	FAIL a FAILED run whose slice sat at its cap without an OOM keeps its FAILED, since only an OOM is refused, and reports the peak at the cap and how often it was hit
# head act_ci.py after run sha256 e8bf06d297b64f08cfd2431977875b786ce0ae18eed29bd3fc4fecd74f8de3dc EXACT
