label	exit	seconds	argv	last stdout line
mutation-omit-seven-jobs	1	12.588	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/mutate_validator.py", "omit-seven-jobs"]	selftest: 911 FAILURE(S)
mutation-accept-missing-record	1	0.042	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/mutate_validator.py", "accept-missing-record"]	
mutation-accept-content-drift	1	0.047	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/mutate_validator.py", "accept-content-drift"]	
py-idiom-corrected	0	2.823	["python3", "scripts/check_py_idiom.py"]	  over-long line: 0 <= 0
mutation-omit-sha-step	1	13.843	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/mutate_validator.py", "omit-sha-step"]	selftest: 35 FAILURE(S)
todo-check	0	1.227	["python3", "scripts/check_todo_ownership.py"]	TODO ownership gate: OK (0 owned marker(s), 0 unowned; 28 near-miss occurrence(s) on 22 line(s) correctly not treated as markers; 756 first-party file(s) read)
fail-fast-check	0	1.399	["python3", "scripts/measure_fail_fast.py", "--check"]	  the ratchets can be lowered to 82, 4 and 0
evidence-check	0	4.652	["python3", "scripts/measure_test_evidence.py", "--check"]	  the mutation ratchet can be lowered to 75
mutation-accept-missing-record-corrected	1	13.957	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/mutate_validator.py", "accept-missing-record"]	selftest: 171 FAILURE(S)
mutation-accept-content-drift-corrected	1	14.069	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/mutate_validator.py", "accept-content-drift"]	selftest: 1236 FAILURE(S)
corrected-sha-controls	0	0.190	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/sha_controls.py"]	explicit SHA controls: 2/2 caught
hygiene-check	0	0.302	["python3", "scripts/check_hygiene.py", "--check"]	HYGIENE RATCHET: PASS (3 population(s), 706 file(s))
contents-check	0	0.364	["python3", "scripts/gen_toc.py", "--check"]	TOC gate: OK (105 page(s) carry an annotated contents list, 17 below the 3-section threshold)
contents-anchors	0	0.396	["python3", "scripts/gen_toc.py", "--verify-anchors"]	anchor check: 144 existing cross-page fragment links reproduced
coverage-maintenance	0	1.988	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/coverage_and_maintenance.py"]	coverage and maintenance audit: PASS
doc-style	0	0.045	["python3", "scripts/check_doc_style.py"]	documentation style: OK (22 current documents)
contents-selftest	0	0.161	["python3", "scripts/gen_toc.py", "--selftest"]	TOC selftest: PASS (707/707 arm(s))
em-dash-selftest	0	0.982	["python3", "scripts/check_em_dash.py", "--selftest"]	check_em_dash selftest: PASS (57 arm(s))
todo-selftest	0	1.294	["python3", "scripts/check_todo_ownership.py", "--selftest"]	45 checks: 45 PASS, 0 FAIL
fail-fast-selftest	0	1.422	["python3", "scripts/measure_fail_fast.py", "--selftest"]	106 checks: 106 PASS, 0 FAIL
py-idiom-selftest	0	2.827	["python3", "scripts/check_py_idiom.py", "--selftest"]	54 checks: 54 PASS, 0 FAIL
evidence-selftest	0	4.644	["python3", "scripts/measure_test_evidence.py", "--selftest"]	101 checks: 101 PASS, 0 FAIL
precommit-diff-check	0	0.018	["git", "diff", "--check"]	
stage-source	0	0.008	["git", "add", "scripts/ci_events.py", "docs/testing/CI_WORKFLOWS.md"]	
commit-source	0	0.014	["git", "commit", "-m", "Pin remaining RTL workflow scripts and the gate SHA assertion"]	 2 files changed, 368 insertions(+), 49 deletions(-)
final-status	0	0.019	["git", "status", "--porcelain=v2", "--branch"]	# branch.ab +1 -0
final-check	0	0.179	["python3", "scripts/ci_events.py", "--check"]	ci_events: OK (1589 contract item(s) across 4 workflow files and docs/testing/CI_WORKFLOWS.md)
final-integrity	0	0.185	["python3", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/integrity.py", "final"]	manifest=$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/final-integrity.json sha256=32bb050f04438aad2629b164a548e6bf61ee2eee1cf18682f3c0579001552e4e
source-remote	0	0.614	["git", "ls-remote", "--heads", "origin", "439-rtl-script-content-pins"]	483a133ed08867ea0d300d2b4a027b5b48a4282f	refs/heads/439-rtl-script-content-pins
em-dash-check	0	0.970	["python3", "scripts/check_em_dash.py", "--base", "483a133ed08867ea0d300d2b4a027b5b48a4282f"]	check_em_dash: 0 finding(s) over 31 added line(s) in 1 changed Markdown page(s), 0 mirrored label(s) exempt, arms 57/57 [483a133e..HEAD]
final-selftest	0	13.813	["python3", "scripts/ci_events.py", "--selftest"]	selftest: PASS (1589 contract items, 2135 arms)
review-ready-comment	0	1.465	["gh", "issue", "comment", "439", "--repo", "kebag-logic/milan-fpga", "--body-file", "$WORKSPACE_HOME/milan-fpga-management/2026-09-22/439-author/REVIEW-READY.md"]	https://github.com/kebag-logic/milan-fpga/issues/439#issuecomment-5782749254
